Genesration,  averageFitness,  BestFitness, leastOpenedBins
1,0.08269236,0.083333336,12
2,0.08282056,0.083333336,12
3,0.08301286,0.083333336,12
4,0.08326928,0.083333336,12
5,0.08320516,0.083333336,12
6,0.08307696,0.083333336,12
7,0.08314108,0.083333336,12
8,0.08294876,0.083333336,12
9,0.08320516,0.083333336,12
10,0.08320518,0.083333336,12
11,0.08326928,0.083333336,12
12,0.08320516,0.083333336,12
13,0.083012864,0.083333336,12
14,0.083141066,0.083333336,12
15,0.08320516,0.083333336,12
16,0.083012864,0.083333336,12
17,0.083141066,0.083333336,12
18,0.08326928,0.083333336,12
19,0.08307696,0.083333336,12
20,0.083141066,0.083333336,12
21,0.083141066,0.083333336,12
22,0.08294876,0.083333336,12
23,0.08320518,0.083333336,12
24,0.08307698,0.083333336,12
25,0.08320518,0.083333336,12
26,0.08326927,0.083333336,12
27,0.08326927,0.083333336,12
28,0.08294876,0.083333336,12
29,0.08333338,0.083333336,12
30,0.083012864,0.083333336,12
31,0.08326927,0.083333336,12
32,0.08326927,0.083333336,12
33,0.08333338,0.083333336,12
34,0.08314108,0.083333336,12
35,0.083141066,0.083333336,12
36,0.08333338,0.083333336,12
37,0.08333338,0.083333336,12
38,0.08326928,0.083333336,12
39,0.08326927,0.083333336,12
40,0.08320516,0.083333336,12
41,0.08326928,0.083333336,12
42,0.08326928,0.083333336,12
43,0.08326927,0.083333336,12
44,0.08326928,0.083333336,12
45,0.08326927,0.083333336,12
46,0.08333338,0.083333336,12
47,0.08333338,0.083333336,12
48,0.08326928,0.083333336,12
49,0.08326927,0.083333336,12
50,0.08307696,0.083333336,12
51,0.083012864,0.083333336,12
52,0.08301286,0.083333336,12
53,0.08288466,0.083333336,12
54,0.08301285,0.083333336,12
55,0.08314106,0.083333336,12
56,0.08320518,0.083333336,12
57,0.08320516,0.083333336,12
58,0.08326927,0.083333336,12
59,0.08333338,0.083333336,12
60,0.08314106,0.083333336,12
61,0.083141066,0.083333336,12
62,0.08301288,0.083333336,12
63,0.08333338,0.083333336,12
64,0.08320518,0.083333336,12
65,0.08326927,0.083333336,12
66,0.083141066,0.083333336,12
67,0.08326928,0.083333336,12
68,0.08320516,0.083333336,12
69,0.08320518,0.083333336,12
70,0.083076954,0.083333336,12
71,0.083012864,0.083333336,12
72,0.08320518,0.083333336,12
73,0.083076976,0.083333336,12
74,0.08307696,0.083333336,12
75,0.08307696,0.083333336,12
76,0.083141066,0.083333336,12
77,0.08320518,0.083333336,12
78,0.08294876,0.083333336,12
79,0.08294876,0.083333336,12
80,0.083076976,0.083333336,12
81,0.083141066,0.083333336,12
82,0.08320518,0.083333336,12
83,0.08301286,0.083333336,12
84,0.08320518,0.083333336,12
85,0.08326928,0.083333336,12
86,0.083141066,0.083333336,12
87,0.08294876,0.083333336,12
88,0.082948744,0.083333336,12
89,0.08320518,0.083333336,12
90,0.08326928,0.083333336,12
91,0.08326928,0.083333336,12
92,0.083141066,0.083333336,12
93,0.08320518,0.083333336,12
94,0.08320518,0.083333336,12
95,0.083141066,0.083333336,12
96,0.08320518,0.083333336,12
97,0.08320518,0.083333336,12
98,0.08314108,0.083333336,12
99,0.08301286,0.083333336,12
100,0.08320518,0.083333336,12
